arquivo,status,linhas_lidas,linhas_filtradas,resolvidas,nao_resolvidas,ano_min,ano_max,encoding,sep,skiprows,saida
2019--2-semestre.csv,ok,423391,233042,151158,81884,2019,2019,latin1,';',0,data/processed/parts/2019--2-semestre.parquet
2019-1-semestre.csv,ok,356788,204529,135914,68615,2019,2019,utf-8-sig,';',0,data/processed/parts/2019-1-semestre.parquet
amplo2020-08.csv,ok,128372,61551,35699,25852,2020,2020,utf-8-sig,';',0,data/processed/parts/amplo2020-08.parquet
amplo2020-09.csv,ok,122083,57022,32814,24208,2020,2020,utf-8-sig,';',0,data/processed/parts/amplo2020-09.parquet
amplo2020-10.csv,ok,125875,59260,34464,24796,2020,2020,utf-8-sig,';',0,data/processed/parts/amplo2020-10.parquet
amplo2020-11.csv,ok,107247,56540,33062,23478,2020,2020,utf-8-sig,';',0,data/processed/parts/amplo2020-11.parquet
amplo2020-12.csv,ok,128620,55892,32316,23576,2020,2020,utf-8-sig,';',0,data/processed/parts/amplo2020-12.parquet
amplo2021-01.csv,ok,120668,58303,33065,25238,2021,2021,utf-8-sig,';',0,data/processed/parts/amplo2021-01.parquet
base_completa_2025-03.csv,ok,153208,47081,21581,25500,2025,2025,utf-8-sig,';',0,data/processed/parts/base_completa_2025-03.parquet
basecompleta2021-02.csv,ok,121728,55469,30894,24575,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-02.parquet
basecompleta2021-03.csv,ok,140715,64371,37334,27037,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-03.parquet
basecompleta2021-04.csv,ok,134855,59129,33507,25622,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-04.parquet
basecompleta2021-05.csv,ok,126128,57784,33348,24436,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-05.parquet
basecompleta2021-06.csv,ok,127445,56786,32669,24117,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-06.parquet
basecompleta2021-07.csv,ok,126123,55327,32324,23003,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-07.parquet
basecompleta2021-08.csv,ok,139894,62237,35395,26842,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-08.parquet
basecompleta2021-09.csv,ok,130675,55288,31037,24251,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-09.parquet
basecompleta2021-10.csv,ok,133962,58847,32776,26071,2021,2021,utf-8-sig,';',0,data/processed/parts/basecompleta2021-10.parquet
basecompleta2021-11.csv,ok,140184,62399,33790,28609,2021,2021,latin1,';',0,data/processed/parts/basecompleta2021-11.parquet
basecompleta2021-12.csv,ok,155405,61801,33221,28580,2021,2021,latin1,';',0,data/processed/parts/basecompleta2021-12.parquet
basecompleta2022-01.csv,ok,137945,64103,33608,30495,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-01.parquet
