feature_codificada,coeficiente,variavel,categoria,label_grafico,abs_coeficiente,odds_ratio
cat__Segmento de Mercado_Energia Elétrica,1.2704988216670696,Segmento de Mercado,Energia Elétrica,Segmento: Energia Elétrica,1.2704988216670696,3.5626292358516416
"cat__Assunto_Produtos Veterinários (ração, acessórios etc)",0.8247120687760308,Assunto,"Produtos Veterinários (ração, acessórios etc)","Assunto: Produtos Veterinários (ração, acessórios etc)",0.8247120687760308,2.281223835187479
cat__Problema_Não entrega do contrato ou documentação relacionada ao serviço,0.8068192637385372,Problema,Não entrega do contrato ou documentação relacionada ao serviço,Problema: Não entrega do contrato ou documentação relacionada ao serviço,0.8068192637385372,2.240769343320228
cat__Segmento de Mercado_Transporte Aéreo,0.8000240506377326,Segmento de Mercado,Transporte Aéreo,Segmento: Transporte Aéreo,0.8000240506377326,2.2255944548147664
cat__Segmento de Mercado_Serviços Esportivos,0.7875883718491334,Segmento de Mercado,Serviços Esportivos,Segmento: Serviços Esportivos,0.7875883718491334,2.198089055681285
cat__Área_Telecomunicações,0.7609559129456246,Área,Telecomunicações,Área: Telecomunicações,0.7609559129456246,2.140321203674539
cat__Problema_Dificuldade na inclusão em tarifa social ? recusa / falta de informação,0.7507596948301749,Problema,Dificuldade na inclusão em tarifa social ? recusa / falta de informação,Problema: Dificuldade na inclusão em tarifa social ? recusa / falta de informação,0.7507596948301749,2.118608901634213
cat__Assunto_Demais Seguros (exceto habitacional),0.7369899857082965,Assunto,Demais Seguros (exceto habitacional),Assunto: Demais Seguros (exceto habitacional),0.7369899857082965,2.0896362039047753
cat__Segmento de Mercado_Programas de Fidelidade,0.7329720334430411,Segmento de Mercado,Programas de Fidelidade,Segmento: Programas de Fidelidade,0.7329720334430411,2.0812569902986717
cat__Problema_Dificuldade para rescindir o contrato / cancelar o serviço,0.7203837028277364,Problema,Dificuldade para rescindir o contrato / cancelar o serviço,Problema: Dificuldade para rescindir o contrato / cancelar o serviço,0.7203837028277364,2.055221653730455
cat__Problema_Dificuldade para obter nova ligação de energia ou alteração de carga (sem necessidade de obras),0.7187923903929497,Problema,Dificuldade para obter nova ligação de energia ou alteração de carga (sem necessidade de obras),Problema: Dificuldade para obter nova ligação de energia ou alteração de carga (sem necessidade de obras),0.7187923903929497,2.051953754770358
cat__Problema_Dificuldade para religação após suspensão do fornecimento,0.6939949344306083,Problema,Dificuldade para religação após suspensão do fornecimento,Problema: Dificuldade para religação após suspensão do fornecimento,0.6939949344306083,2.001696226631084
"cat__Problema_Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",0.668653466357341,Problema,"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor","Problema: Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",0.668653466357341,1.9516076452085132
cat__Problema_Dificuldade para atualização cadastral ou para acesso aos dados cadastrados/ Alteração de Vencimento,0.6470214904991322,Problema,Dificuldade para atualização cadastral ou para acesso aos dados cadastrados/ Alteração de Vencimento,Problema: Dificuldade para atualização cadastral ou para acesso aos dados cadastrados/ Alteração de Vencimento,0.6470214904991322,1.909843860903928
cat__Problema_Cobrança após cancelamento do serviço,0.6439574686959016,Problema,Cobrança após cancelamento do serviço,Problema: Cobrança após cancelamento do serviço,0.6439574686959016,1.90400101355036
cat__Problema_Margem consignável - bloqueio/ contestação,0.6348397309451811,Problema,Margem consignável - bloqueio/ contestação,Problema: Margem consignável - bloqueio/ contestação,0.6348397309451811,1.8867197344375948
cat__Assunto_Demais Seguros,0.6231182255437321,Assunto,Demais Seguros,Assunto: Demais Seguros,0.6231182255437321,1.8647336456372563
cat__Problema_Não entrega de cartão,0.6141785743342137,Problema,Não entrega de cartão,Problema: Não entrega de cartão,0.6141785743342137,1.8481378680024945
"cat__Problema_Dificuldade de pagamento, saque, depósito, transferência",0.6038589385791194,Problema,"Dificuldade de pagamento, saque, depósito, transferência","Problema: Dificuldade de pagamento, saque, depósito, transferência",0.6038589385791194,1.8291638293495647
cat__Problema_SAC - Dificuldade para cancelar o serviço,0.5647374758711526,Problema,SAC - Dificuldade para cancelar o serviço,Problema: SAC - Dificuldade para cancelar o serviço,0.5647374758711526,1.7589859458497172
cat__Área_Alimentos,0.5608235642770104,Área,Alimentos,Área: Alimentos,0.5608235642770104,1.7521148854950255
"cat__Problema_Dificuldade para Conexão de Mini/Microgeração (energia solar, eólica etc)",0.5501446031597618,Problema,"Dificuldade para Conexão de Mini/Microgeração (energia solar, eólica etc)","Problema: Dificuldade para Conexão de Mini/Microgeração (energia solar, eólica etc)",0.5501446031597618,1.7335036698525432
cat__Segmento de Mercado_Distribuidoras de Combustíveis / Gás,0.5480790370021068,Segmento de Mercado,Distribuidoras de Combustíveis / Gás,Segmento: Distribuidoras de Combustíveis / Gás,0.5480790370021068,1.7299266988448365
cat__Problema_Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,0.5411441603391944,Problema,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,Problema: Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,0.5411441603391944,1.717971372821622
cat__Problema_Descumprimento de prazo para consulta/ exames,0.5276812701038854,Problema,Descumprimento de prazo para consulta/ exames,Problema: Descumprimento de prazo para consulta/ exames,0.5276812701038854,1.694997507116978
cat__Problema_Dados pessoais ou financeiros incorretos / desatualizados  dificuldade de retificação,0.5213077884749444,Problema,Dados pessoais ou financeiros incorretos / desatualizados  dificuldade de retificação,Problema: Dados pessoais ou financeiros incorretos / desatualizados  dificuldade de retificação,0.5213077884749444,1.6842288250958837
"cat__Problema_Fidelização indevida (multa não permitida, acima do prazo, não informada)",0.5184229538607165,Problema,"Fidelização indevida (multa não permitida, acima do prazo, não informada)","Problema: Fidelização indevida (multa não permitida, acima do prazo, não informada)",0.5184229538607165,1.679377105052703
"cat__Segmento de Mercado_Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",0.4963448340111221,Segmento de Mercado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Segmento: Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",0.4963448340111221,1.6427059210342878
"cat__Segmento de Mercado_Fabricantes - Móveis, Colchões e Acessórios",0.49292722784561604,Segmento de Mercado,"Fabricantes - Móveis, Colchões e Acessórios","Segmento: Fabricantes - Móveis, Colchões e Acessórios",0.49292722784561604,1.637101381659707
"cat__Assunto_Cartão de Benefícios (vale transporte, alimentação, combustível, incentivos etc)",0.4924514021866579,Assunto,"Cartão de Benefícios (vale transporte, alimentação, combustível, incentivos etc)","Assunto: Cartão de Benefícios (vale transporte, alimentação, combustível, incentivos etc)",0.4924514021866579,1.6363225921147155
