feature_codificada,coeficiente,variavel,categoria,label_grafico,abs_coeficiente,odds_ratio
cat__Problema_Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),-1.1753524460709337,Problema,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Problema: Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),1.1753524460709337,0.30871015683021985
"cat__Problema_Venda casada (garantia estendida, seguro, cursos etc)",-0.9549101418962808,Problema,"Venda casada (garantia estendida, seguro, cursos etc)","Problema: Venda casada (garantia estendida, seguro, cursos etc)",0.9549101418962808,0.3848467245962015
cat__Problema_Negativa de cobertura / Demora injustificada ou Divergência na indenização,-0.7812543487264954,Problema,Negativa de cobertura / Demora injustificada ou Divergência na indenização,Problema: Negativa de cobertura / Demora injustificada ou Divergência na indenização,0.7812543487264954,0.4578313707838726
cat__Assunto_Energia Elétrica,-0.708699657420244,Assunto,Energia Elétrica,Assunto: Energia Elétrica,0.708699657420244,0.4922839191835695
"cat__Assunto_Seguro Habitacional (financiamento para aquisição, reforma ou construção de imóvel)",-0.7059846292329381,Assunto,"Seguro Habitacional (financiamento para aquisição, reforma ou construção de imóvel)","Assunto: Seguro Habitacional (financiamento para aquisição, reforma ou construção de imóvel)",0.7059846292329381,0.49362229994891943
cat__Área_Educação,-0.6674313019054261,Área,Educação,Área: Educação,0.6674313019054261,0.513024692261986
cat__Área_Turismo/Viagens,-0.655123019700724,Área,Turismo/Viagens,Área: Turismo/Viagens,0.655123019700724,0.5193781649103824
cat__Problema_Reajuste  dúvida ou discordância (exceto idoso),-0.653133049906194,Problema,Reajuste  dúvida ou discordância (exceto idoso),Problema: Reajuste  dúvida ou discordância (exceto idoso),0.653133049906194,0.5204127408164858
cat__Problema_Cláusulas irregulares / abusivas / de interpretação dúbia,-0.6472615170409347,Problema,Cláusulas irregulares / abusivas / de interpretação dúbia,Problema: Cláusulas irregulares / abusivas / de interpretação dúbia,0.6472615170409347,0.5234773494986534
cat__Assunto_Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),-0.6461699786079826,Assunto,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),0.6461699786079826,0.5240490571080614
cat__Assunto_Superior ( Graduação e Pós ),-0.6436437329140147,Assunto,Superior ( Graduação e Pós ),Assunto: Superior ( Graduação e Pós ),0.6436437329140147,0.5253746074099171
cat__Assunto_Pacote / excursão / agência de turismo,-0.636711471699065,Assunto,Pacote / excursão / agência de turismo,Assunto: Pacote / excursão / agência de turismo,0.636711471699065,0.5290292944107925
"cat__Segmento de Mercado_Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",-0.6332805336249272,Segmento de Mercado,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática","Segmento: Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",0.6332805336249272,0.5308474784141446
cat__Segmento de Mercado_Editoras,-0.5967490420615005,Segmento de Mercado,Editoras,Segmento: Editoras,0.5967490420615005,0.5505987029047265
"cat__Segmento de Mercado_Montadoras, Concessionárias e Prestadores de Serviços Automotivos",-0.5818588188020755,Segmento de Mercado,"Montadoras, Concessionárias e Prestadores de Serviços Automotivos","Segmento: Montadoras, Concessionárias e Prestadores de Serviços Automotivos",0.5818588188020755,0.5588585836377956
"cat__Assunto_Veículos Novos (motos, carros, caminhões)",-0.5766993783945455,Assunto,"Veículos Novos (motos, carros, caminhões)","Assunto: Veículos Novos (motos, carros, caminhões)",0.5766993783945455,0.5617494323643563
cat__Segmento de Mercado_Artigos Esportivos,-0.5673795188168849,Segmento de Mercado,Artigos Esportivos,Segmento: Artigos Esportivos,0.5673795188168849,0.5670093308768388
cat__Problema_Negativa de embarque de passageiro (preterição / overbooking),-0.5627077342526601,Problema,Negativa de embarque de passageiro (preterição / overbooking),Problema: Negativa de embarque de passageiro (preterição / overbooking),0.5627077342526601,0.5696644736148649
