feature_codificada,importancia,variavel,categoria,label_grafico
"cat__Segmento de Mercado_Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",0.22556259,Segmento de Mercado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Segmento: Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)"
cat__Área_Turismo/Viagens,0.084222175,Área,Turismo/Viagens,Área: Turismo/Viagens
cat__Área_Telecomunicações,0.08030352,Área,Telecomunicações,Área: Telecomunicações
"cat__Segmento de Mercado_Viagens, Turismo e Hospedagem",0.021213425,Segmento de Mercado,"Viagens, Turismo e Hospedagem","Segmento: Viagens, Turismo e Hospedagem"
cat__Assunto_Pacote / excursão / agência de turismo,0.013687782,Assunto,Pacote / excursão / agência de turismo,Assunto: Pacote / excursão / agência de turismo
cat__Assunto_Superior ( Graduação e Pós ),0.01277718,Assunto,Superior ( Graduação e Pós ),Assunto: Superior ( Graduação e Pós )
cat__Mês Abertura_Não informado,0.012278914,Mês Abertura,Não informado,Mês: Não informado
cat__Área_Demais Produtos,0.009223714,Área,Demais Produtos,Área: Demais Produtos
cat__Segmento de Mercado_Transporte Aéreo,0.008378751,Segmento de Mercado,Transporte Aéreo,Segmento: Transporte Aéreo
"cat__Segmento de Mercado_Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",0.0075912704,Segmento de Mercado,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática","Segmento: Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática"
cat__Segmento de Mercado_Programas de Fidelidade,0.0071735503,Segmento de Mercado,Programas de Fidelidade,Segmento: Programas de Fidelidade
cat__Assunto_Aparelho de telefone fixo / interfone,0.006963905,Assunto,Aparelho de telefone fixo / interfone,Assunto: Aparelho de telefone fixo / interfone
cat__Assunto_Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),0.0068761543,Assunto,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Assunto: Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS)
cat__Problema_Não entrega / demora na entrega do produto,0.0068733934,Problema,Não entrega / demora na entrega do produto,Problema: Não entrega / demora na entrega do produto
